"","x"
"5483","LARCENY/THEFT"
"5484","LARCENY/THEFT"
"5485","OTHER OFFENSES"
"5486","LARCENY/THEFT"
"5487","LARCENY/THEFT"
"5488","ASSAULT"
"5489","OTHER OFFENSES"
"5490","LARCENY/THEFT"
"5491","LARCENY/THEFT"
"5492","LARCENY/THEFT"
"5493","LARCENY/THEFT"
"5494","LARCENY/THEFT"
"5495","LARCENY/THEFT"
"5496","LARCENY/THEFT"
"5497","LARCENY/THEFT"
"5498","LARCENY/THEFT"
"5499","NON-CRIMINAL"
"5500","NON-CRIMINAL"
"5501","LARCENY/THEFT"
"5502","ASSAULT"
"5503","LARCENY/THEFT"
"5504","OTHER OFFENSES"
"5505","LARCENY/THEFT"
"5506","OTHER OFFENSES"
"5507","NON-CRIMINAL"
"5508","OTHER OFFENSES"
"5509","OTHER OFFENSES"
"5510","LARCENY/THEFT"
"5511","LARCENY/THEFT"
"5512","LARCENY/THEFT"
"5513","LARCENY/THEFT"
"5514","LARCENY/THEFT"
"5515","LARCENY/THEFT"
"5516","OTHER OFFENSES"
"5517","LARCENY/THEFT"
"5518","LARCENY/THEFT"
"5519","LARCENY/THEFT"
"5520","LARCENY/THEFT"
"5521","LARCENY/THEFT"
"5522","NON-CRIMINAL"
"5523","NON-CRIMINAL"
"5524","NON-CRIMINAL"
"5525","LARCENY/THEFT"
"5526","OTHER OFFENSES"
"5527","LARCENY/THEFT"
"5528","LARCENY/THEFT"
"5529","LARCENY/THEFT"
"5530","LARCENY/THEFT"
"5531","OTHER OFFENSES"
"5532","LARCENY/THEFT"
"5533","LARCENY/THEFT"
"5534","LARCENY/THEFT"
"5535","NON-CRIMINAL"
"5536","NON-CRIMINAL"
"5537","LARCENY/THEFT"
"5538","LARCENY/THEFT"
"5539","LARCENY/THEFT"
"5540","LARCENY/THEFT"
"5541","LARCENY/THEFT"
"5542","LARCENY/THEFT"
"5543","LARCENY/THEFT"
"5544","LARCENY/THEFT"
"5545","LARCENY/THEFT"
"5546","LARCENY/THEFT"
"5547","LARCENY/THEFT"
"5548","NON-CRIMINAL"
"5549","LARCENY/THEFT"
"5550","LARCENY/THEFT"
"5551","NON-CRIMINAL"
"5552","LARCENY/THEFT"
"5553","LARCENY/THEFT"
"5554","LARCENY/THEFT"
"5555","LARCENY/THEFT"
"5556","NON-CRIMINAL"
"5557","LARCENY/THEFT"
"5558","OTHER OFFENSES"
"5559","NON-CRIMINAL"
"5560","NON-CRIMINAL"
"5561","LARCENY/THEFT"
"5562","NON-CRIMINAL"
"5563","LARCENY/THEFT"
"5564","LARCENY/THEFT"
"5565","LARCENY/THEFT"
"5566","NON-CRIMINAL"
"5567","NON-CRIMINAL"
"5568","NON-CRIMINAL"
"5569","LARCENY/THEFT"
"5570","LARCENY/THEFT"
"5571","LARCENY/THEFT"
"5572","LARCENY/THEFT"
"5573","LARCENY/THEFT"
"5574","LARCENY/THEFT"
"5575","LARCENY/THEFT"
"5576","LARCENY/THEFT"
"5577","OTHER OFFENSES"
"5578","ASSAULT"
"5579","LARCENY/THEFT"
"5580","LARCENY/THEFT"
"5581","NON-CRIMINAL"
"5582","NON-CRIMINAL"
"5583","LARCENY/THEFT"
"5584","OTHER OFFENSES"
"5585","ASSAULT"
"5586","ASSAULT"
"5587","LARCENY/THEFT"
"5588","NON-CRIMINAL"
"5589","LARCENY/THEFT"
"5590","LARCENY/THEFT"
"5591","LARCENY/THEFT"
"5592","LARCENY/THEFT"
"5593","LARCENY/THEFT"
"5594","LARCENY/THEFT"
"5595","LARCENY/THEFT"
"5596","LARCENY/THEFT"
"5597","LARCENY/THEFT"
"5598","LARCENY/THEFT"
"5599","LARCENY/THEFT"
"5600","OTHER OFFENSES"
"5601","OTHER OFFENSES"
"5602","OTHER OFFENSES"
"5603","OTHER OFFENSES"
"5604","LARCENY/THEFT"
"5605","OTHER OFFENSES"
"5606","OTHER OFFENSES"
"5607","OTHER OFFENSES"
"5608","NON-CRIMINAL"
"5609","LARCENY/THEFT"
"5610","LARCENY/THEFT"
"5611","NON-CRIMINAL"
"5612","OTHER OFFENSES"
"5613","OTHER OFFENSES"
"5614","OTHER OFFENSES"
"5615","ASSAULT"
"5616","LARCENY/THEFT"
"5617","LARCENY/THEFT"
"5618","LARCENY/THEFT"
"5619","LARCENY/THEFT"
"5620","LARCENY/THEFT"
"5621","NON-CRIMINAL"
"5622","ASSAULT"
"5623","NON-CRIMINAL"
"5624","VEHICLE THEFT"
"5625","VEHICLE THEFT"
"5626","VEHICLE THEFT"
"5627","NON-CRIMINAL"
"5628","LARCENY/THEFT"
"5629","LARCENY/THEFT"
"5630","OTHER OFFENSES"
"5631","OTHER OFFENSES"
"5632","LARCENY/THEFT"
"5633","NON-CRIMINAL"
"5634","VANDALISM"
"5635","LARCENY/THEFT"
"5636","OTHER OFFENSES"
"5637","OTHER OFFENSES"
"5638","VANDALISM"
"5639","LARCENY/THEFT"
"5640","LARCENY/THEFT"
"5641","OTHER OFFENSES"
"5642","LARCENY/THEFT"
"5643","LARCENY/THEFT"
"5644","LARCENY/THEFT"
"5645","LARCENY/THEFT"
"5646","LARCENY/THEFT"
"5647","VANDALISM"
"5648","OTHER OFFENSES"
"5649","OTHER OFFENSES"
"5650","OTHER OFFENSES"
"5651","LARCENY/THEFT"
"5652","LARCENY/THEFT"
"5653","NON-CRIMINAL"
"5654","NON-CRIMINAL"
"5655","LARCENY/THEFT"
"5656","LARCENY/THEFT"
"5657","MISSING PERSON"
"5658","MISSING PERSON"
"5659","ASSAULT"
"5660","LARCENY/THEFT"
"5661","LARCENY/THEFT"
"5662","LARCENY/THEFT"
"5663","LARCENY/THEFT"
"5664","LARCENY/THEFT"
"5665","LARCENY/THEFT"
"5666","OTHER OFFENSES"
"5667","OTHER OFFENSES"
"5668","LARCENY/THEFT"
"5669","LARCENY/THEFT"
"5670","LARCENY/THEFT"
"5671","VANDALISM"
"5672","LARCENY/THEFT"
"5673","OTHER OFFENSES"
"5674","OTHER OFFENSES"
"5675","LARCENY/THEFT"
"5676","LARCENY/THEFT"
"5677","LARCENY/THEFT"
"5678","LARCENY/THEFT"
"5679","LARCENY/THEFT"
"5680","LARCENY/THEFT"
"5681","LARCENY/THEFT"
"5682","LARCENY/THEFT"
"5683","NON-CRIMINAL"
"5684","LARCENY/THEFT"
"5685","LARCENY/THEFT"
"5686","LARCENY/THEFT"
"5687","LARCENY/THEFT"
"5688","NON-CRIMINAL"
"5689","OTHER OFFENSES"
"5690","OTHER OFFENSES"
"5691","ASSAULT"
"5692","ASSAULT"
"5693","LARCENY/THEFT"
"5694","LARCENY/THEFT"
"5695","LARCENY/THEFT"
"5696","LARCENY/THEFT"
"5697","LARCENY/THEFT"
"5698","LARCENY/THEFT"
"5699","LARCENY/THEFT"
"5700","LARCENY/THEFT"
"5701","LARCENY/THEFT"
"5702","LARCENY/THEFT"
"5703","LARCENY/THEFT"
"5704","LARCENY/THEFT"
"5705","LARCENY/THEFT"
"5706","OTHER OFFENSES"
"5707","OTHER OFFENSES"
"5708","OTHER OFFENSES"
"5709","LARCENY/THEFT"
"5710","LARCENY/THEFT"
"5711","LARCENY/THEFT"
"5712","LARCENY/THEFT"
"5713","LARCENY/THEFT"
"5714","LARCENY/THEFT"
"5715","OTHER OFFENSES"
"5716","LARCENY/THEFT"
"5717","LARCENY/THEFT"
"5718","LARCENY/THEFT"
"5719","OTHER OFFENSES"
"5720","NON-CRIMINAL"
"5721","LARCENY/THEFT"
"5722","LARCENY/THEFT"
"5723","LARCENY/THEFT"
"5724","LARCENY/THEFT"
"5725","LARCENY/THEFT"
"5726","LARCENY/THEFT"
"5727","OTHER OFFENSES"
"5728","LARCENY/THEFT"
"5729","OTHER OFFENSES"
"5730","OTHER OFFENSES"
"5731","LARCENY/THEFT"
"5732","LARCENY/THEFT"
"5733","LARCENY/THEFT"
"5734","LARCENY/THEFT"
"5735","SUSPICIOUS OCC"
"5736","LARCENY/THEFT"
"5737","WARRANTS"
"5738","OTHER OFFENSES"
"5739","LARCENY/THEFT"
"5740","LARCENY/THEFT"
"5741","LARCENY/THEFT"
"5742","LARCENY/THEFT"
"5743","LARCENY/THEFT"
"5744","LARCENY/THEFT"
"5745","LARCENY/THEFT"
"5746","LARCENY/THEFT"
"5747","LARCENY/THEFT"
"5748","VANDALISM"
"5749","LARCENY/THEFT"
"5750","OTHER OFFENSES"
"5751","OTHER OFFENSES"
"5752","LARCENY/THEFT"
"5753","ASSAULT"
"5754","OTHER OFFENSES"
"5755","LARCENY/THEFT"
"5756","OTHER OFFENSES"
"5757","LARCENY/THEFT"
"5758","LARCENY/THEFT"
"5759","LARCENY/THEFT"
"5760","LARCENY/THEFT"
"5761","LARCENY/THEFT"
"5762","LARCENY/THEFT"
"5763","LARCENY/THEFT"
"5764","LARCENY/THEFT"
"5765","LARCENY/THEFT"
"5766","LARCENY/THEFT"
"5767","LARCENY/THEFT"
"5768","LARCENY/THEFT"
"5769","LARCENY/THEFT"
"5770","LARCENY/THEFT"
"5771","LARCENY/THEFT"
"5772","LARCENY/THEFT"
"5773","NON-CRIMINAL"
"5774","LARCENY/THEFT"
"5775","LARCENY/THEFT"
"5776","OTHER OFFENSES"
"5777","LARCENY/THEFT"
"5778","LARCENY/THEFT"
"5779","LARCENY/THEFT"
"5780","NON-CRIMINAL"
"5781","LARCENY/THEFT"
"5782","LARCENY/THEFT"
"5783","LARCENY/THEFT"
"5784","LARCENY/THEFT"
"5785","LARCENY/THEFT"
"5786","LARCENY/THEFT"
"5787","LARCENY/THEFT"
"5788","LARCENY/THEFT"
"5789","LARCENY/THEFT"
"5790","LARCENY/THEFT"
"5791","LARCENY/THEFT"
"5792","LARCENY/THEFT"
"5793","LARCENY/THEFT"
"5794","LARCENY/THEFT"
"5795","NON-CRIMINAL"
"5796","LARCENY/THEFT"
"5797","ASSAULT"
"5798","LARCENY/THEFT"
"5799","LARCENY/THEFT"
"5800","LARCENY/THEFT"
"5801","LARCENY/THEFT"
"5802","LARCENY/THEFT"
"5803","LARCENY/THEFT"
"5804","OTHER OFFENSES"
"5805","LARCENY/THEFT"
"5806","LARCENY/THEFT"
"5807","LARCENY/THEFT"
"5808","OTHER OFFENSES"
"5809","OTHER OFFENSES"
"5810","OTHER OFFENSES"
"5811","OTHER OFFENSES"
"5812","OTHER OFFENSES"
"5813","OTHER OFFENSES"
"5814","LARCENY/THEFT"
"5815","ASSAULT"
"5816","NON-CRIMINAL"
"5817","LARCENY/THEFT"
"5818","LARCENY/THEFT"
"5819","LARCENY/THEFT"
"5820","OTHER OFFENSES"
"5821","LARCENY/THEFT"
"5822","LARCENY/THEFT"
"5823","LARCENY/THEFT"
"5824","LARCENY/THEFT"
"5825","NON-CRIMINAL"
"5826","LARCENY/THEFT"
"5827","NON-CRIMINAL"
"5828","ROBBERY"
"5829","ROBBERY"
"5830","LARCENY/THEFT"
"5831","OTHER OFFENSES"
"5832","LARCENY/THEFT"
"5833","OTHER OFFENSES"
"5834","LARCENY/THEFT"
"5835","LARCENY/THEFT"
"5836","VEHICLE THEFT"
"5837","LARCENY/THEFT"
"5838","LARCENY/THEFT"
"5839","LARCENY/THEFT"
"5840","LARCENY/THEFT"
"5841","OTHER OFFENSES"
"5842","OTHER OFFENSES"
"5843","OTHER OFFENSES"
"5844","LARCENY/THEFT"
"5845","LARCENY/THEFT"
"5846","OTHER OFFENSES"
"5847","NON-CRIMINAL"
"5848","NON-CRIMINAL"
"5849","ASSAULT"
"5850","NON-CRIMINAL"
"5851","LARCENY/THEFT"
"5852","LARCENY/THEFT"
"5853","LARCENY/THEFT"
"5854","LARCENY/THEFT"
"5855","LARCENY/THEFT"
"5856","LARCENY/THEFT"
"5857","ASSAULT"
"5858","ASSAULT"
"5859","LARCENY/THEFT"
"5860","LARCENY/THEFT"
"5861","LARCENY/THEFT"
"5862","LARCENY/THEFT"
"5863","OTHER OFFENSES"
"5864","LARCENY/THEFT"
"5865","LARCENY/THEFT"
"5866","LARCENY/THEFT"
"5867","LARCENY/THEFT"
"5868","LARCENY/THEFT"
"5869","LARCENY/THEFT"
"5870","LARCENY/THEFT"
"5871","LARCENY/THEFT"
"5872","LARCENY/THEFT"
"5873","LARCENY/THEFT"
"5874","LARCENY/THEFT"
"5875","LARCENY/THEFT"
"5876","LARCENY/THEFT"
"5877","LARCENY/THEFT"
"5878","LARCENY/THEFT"
"5879","NON-CRIMINAL"
"5880","NON-CRIMINAL"
"5881","NON-CRIMINAL"
"5882","NON-CRIMINAL"
"5883","LARCENY/THEFT"
"5884","LARCENY/THEFT"
"5885","LARCENY/THEFT"
